ID,VAR00,VAR00.1,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
506,GRE_9,GRE_9,Greece,4,Burundi,0,37,3,1,3,5,2,2,2,2,2,2,1,2,2,3,999,1,not rejected,999,0,0,999,1,1,0,1
507,GRE_10,GRE_10,Greece,2,,1,24,0,5,3,5,2,2,2,2,2,2,2,1,2,3,999,1,not rejected,365,0,0,999,1,1,0,1
508,GRE_11,GRE_11,Greece,4,Iran,0,21,0,5,999,7,2,2,2,2,2,2,2,2,1,1,1,1,not rejected,999,99,99,999,1,1,1,1
511,GRE_15,GRE_15,Greece,2,,0,28,0,6,2,8,2,2,2,2,2,2,2,2,1,1,0,1,rejected,48,1,2,60,1,1,1,1
517,GRE_22,GRE_22,Greece,2,,0,18,0,5,2,8,2,2,2,2,2,2,2,1,2,1,999,1,not rejected,12,99,99,999,1,1,0,0
518,GRE_23,GRE_23,Greece,4,Congo,0,999,999,999,3,4,2,2,2,2,2,1,2,1,2,1,999,1,rejected,13,1,2,999,1,1,0,0
523,GRE_29,GRE_29,Greece,1,,0,20,0,999,1,2,2,2,2,2,2,2,2,1,2,2,999,1,not rejected,1,0,0,999,1,1,0,0
530,GRE_35_b,GRE_48,Greece,1,,1,23,2,1,999,999,2,2,1,2,2,2,2,1,2,1,999,1,not rejected,999,0,0,999,1,0,1,1
1,ERI-M-GRO-06/07,DE_28,Germany,4,Eritrea,0,28,0,6,3,999,2,2,2,2,1,2,1,1,2,6,999,1,rejected,12,1,1,7,999,1,0,1
3,IRA-M-Goe-0908,DE_29,Germany,4,Iran,0,27,0,2,999,8,2,2,2,2,2,2,2,2,1,6,999,1,rejected,14,99,99,999,999,1,0,999
5,NIG-W-GRO-11/07,DE_30,Germany,4,Nigeria/Cameroon,1,37,1,6,2,2,2,2,2,2,2,2,2,2,1,1,999,1,rejected,2,1,1,6,999,999,999,999
6,SEN-M-GRO-08/07,DE_31,Germany,4,Senegal,0,32,0,6,999,1,2,2,2,2,2,2,2,2,1,999,999,1,rejected,999,99,2,999,999,1,999,999
13,06 - ITA04032019MICRO,ITA_6,Italy,4,Nigeria,0,26,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,99,2,999,999,0,1,999
16,09 - ITA04032019MICRO,ITA_9,Italy,4,Ghana,0,24,999,5,999,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,1,1,999,999
19,12 - ITA04032019MICRO,ITA_12,Italy,4,Ghana,0,28,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,1,999
21,14 - ITA04032019MICRO,ITA_14,Italy,4,Ivory Coast,0,23,999,5,3,999,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,1,999,999
22,15 - ITA04032019MICRO,ITA_15,Italy,4,Morocco,0,27,999,5,999,1,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
26,19 - ITA05032019MICRO,ITA_19,Italy,4,Ghana,0,26,1,1,3,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
36,29 - ITA12042019MICRO,ITA_29,Italy,4,Ivory Coast,0,26,999,5,3,1,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,1,999,1
37,SYR- M- MUN- 04.12,DE_32,Germany,1,,0,22,0,5,2,8,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,1,99,99,999,1,999,1,1
42,TUR_66,TR_66,Turkey,1,,1,60,7,1,1,2,2,2,2,2,2,2,2,2,1,4,0,0,not rejected,999,0,0,999,0,0,1,999
