ID,VAR00,VAR00,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
148,LEB_Micro_Female_05.12.2018_Tripoli_Hama,LEB_3,2,1,,1,25,1,4,999,8,2,2,2,1,2,2,2,2,2,6,1,999,999,999,99,99,999,999,999,0,1
154,LEB_Micro_Female_10.11.2018_MajdalAnjar_Teacher,LEB_4,2,1,,1,45,3,1,3,5,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
156,LEB_Micro_Female_14.12.2018_Bourj_Palestinian2,LEB_5,2,4,Syrian-Palestinian,1,37,3,1,999,2,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
159,LEB_Micro_Female_16.11.2018_Beirut_Aleppo2,LEB_6,2,1,,1,32,5,1,999,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
160,LEB_Micro_Female_16.11.2018_Beirut_Idlib,LEB_7,2,1,,1,999,2,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
161,LEB_Micro_Female_16.11.2018_Ouzai_Backproblems,LEB_8,2,1,,1,38,5,999,999,1,2,2,2,1,2,2,2,2,2,6,1,999,999,999,99,99,999,999,999,0,0
163,LEB_Micro_Female_23.10.2018_Zahle_LoveZahle,LEB_9,2,1,,1,25,3,1,999,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
167,LEB_Micro_Micro_23.11.2018_Beirut_School,LEB_10,2,1,,1,32,4,1,2,8,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
168,LEB_Micro_Female_25.10.2018_Saida_Wife,LEB_11,2,1,,1,20,1,1,999,8,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
169,LEB_Micro_Female_29.11.2018_Tyre_Loan,LEB_12,2,1,,1,33,3,1,999,8,2,2,2,2,2,2,2,2,1,6,1,999,1,999,99,99,999,999,999,0,1
171,LEB_Micro_Female_29.11.2018_Tyre_Queen,LEB_13,2,1,,1,30,1,999,999,8,2,2,2,2,2,2,2,2,1,999,1,999,999,999,99,99,999,999,999,0,1
172,LEB_Micro_Male_03.10.2018_Akkar_Solitary,LEB_14,2,1,,0,25,0,5,3,4,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,999,999,0,0
173,LEB_Micro_Male_03.11.2018_Akkar_Hunters,LEB_15,2,1,,0,50,5,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
174,LEB_Micro_Male_03.11.2018_Akkar_Soccer,LEB_16,2,1,,0,34,5,1,2,2,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
176,LEB_Micro_Male_03.12.2018_Beirut_Freedom,LEB_17,2,1,,0,37,3,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
177,LEB_Micro_Male_03.12.2018_Beirut_Quiet,LEB_18,2,1,,0,33,4,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
178,LEB_Micro_Male_04.11.2018_Akkar_Hama,LEB_19,2,1,,0,999,2,1,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
180,LEB_Micro_Male_04.11.2018_Akkar_Sponsorship,LEB_20,2,1,,0,28,3,1,3,999,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
182,LEB_Micro_Male_04.12.2018_Beirut_Stabbed,LEB_21,2,1,,0,999,4,999,2,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
186,LEB_Micro_Male_10.11.2018_MajdalAnjar_Husband,LEB_22,2,1,,0,45,3,1,3,5,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
188,LEB_Micro_Male_10.12.2018_MajdalAnjar_Latakia,LEB_23,2,1,,0,35,0,1,999,1,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,999,999,0,0
190,LEB_Micro_Male_11.12.2018_Beirut_Businesspartner,LEB_24,2,1,,0,33,1,1,2,7,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,999,999,0,999
193,LEB_Micro_Male_11.12.2018_SinelFil_Roommate,LEB_25,2,1,,0,999,2,1,999,6,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,999,999,0,999
196,LEB_Micro_Male_23.11.2018_Beirut_Afrin,LEB_26,2,4,Yazidi-Kurdish-Syrian,0,29,1,1,999,7,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,1
197,LEB_Micro_Male_25.10.2018_Saida_Constructionworker,LEB_27,2,1,,0,35,2,1,999,1,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
198,LEB_Micro_Male_29.11.2018_Tyre_Yazidi,LEB_28,2,4,Yazidi-Kurdish-Syrian,0,55,999,1,999,1,1,2,2,2,2,2,2,2,2,6,1,999,999,999,99,99,999,999,999,0,0
199,LEB_Micro_Female_23.11.2018_Beirut_Education,LEB_29,2,1,,1,60,3,1,999,8,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
200,LEB_Micro_Male_04.12.2018_Beirut_Siblings,LEB_30,2,1,,0,24,0,1,3,2,2,2,2,2,2,2,2,2,1,6,1,999,999,999,99,99,999,999,999,0,0
202,PLMIUk18,PLM_18,8,4,Ukraine,0,30,999,5,2,5,2,2,2,2,2,2,2,2,1,1,0,1,1,18,1,1,over 54,0,0,0,1
205,SWE_22,SWE_22,11,1,,0,20,999,5,2,8,2,2,2,2,2,2,2,2,1,6,0,999,999,999,99,99,999,999,999,1,999
206,SWE_30,SWE_30,11,1,,1,42,3,1,3,4,2,2,2,2,2,2,2,2,1,2,0,1,0,11,99,99,999,1,1,1,1
208,SWE_47,SWE_47,11,2,,0,19,999,3,0,999,2,2,2,2,2,2,2,2,1,6,999,0,1,999,1,1,999,999,999,0,999
209,SWE_55,SWE_55,11,2,,1,18,999,5,3,999,2,2,2,2,2,2,2,2,1,1,0,999,999,999,99,99,999,999,999,0,1
210,SWE_59,SWE_59,11,2,,0,18,999,5,999,2,2,2,2,2,2,2,2,1,2,6,999,0,1,999,1,1,999,999,1,1,999
213,SWE_61,SWE_61,11,2,,0,42,7,1,3,4,2,2,2,2,2,2,1,2,2,2,0,1,999,13,99,99,999,999,1,1,999
214,SWE_58,SWE_58,11,2,,1,27,2,1,1,7,2,2,2,2,2,1,1,1,2,1,999,999,999,999,99,99,999,999,1,0,999
217,SWE_51,SWE_51,11,2,,0,26,3,1,0,7,2,2,2,2,2,2,2,2,1,1,0,0,1,8,1,1,2,0,1,1,1
218,SWE_54,SWE_54,11,2,,1,30,999,1,0,8,2,2,2,2,2,2,2,1,2,1,0,0,1,999,1,1,999,999,1,0,0
