Country Name,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
Finland,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18136.4022978656,17549.9485045531,17261.2267580029,17468.6738770894,18469.0020534551,19576.5681238016,20082.3382341327,21794.4866492782,23576.9460340082,24767.280673451,26784.7064716385,27795.6749302444,28605.1223159604,29051.48643326,31201.734943443,32051.7940038456,34455.1053330327,37838.3401920009,40083.6972699668,37972.270046867,38956.4722165393,40916.8385790274,40873.0953326066,41493.1416470359,41757.4021894413,42497.7049785783,44934.4482077785,47570.133583848,49580.6051952837,50321.5396907229,50506.2858973317,
France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17642.0721436384,18328.0130842207,18951.0435510904,19194.9356144175,19992.615817434,20766.7016373766,21352.8819915166,22243.734348473,23359.4487258962,24307.5028056354,26090.6344736521,27490.0517282233,28523.8861886505,28172.6956506635,29060.4509858357,30498.5768807102,32468.5415789063,34121.3438805071,35095.2656832956,34678.0623193739,35902.9031102393,37440.6334729758,37679.1189105924,39523.8551519345,40144.0268283679,40849.9973780501,42924.613626021,44577.0645745394,46576.6018489382,49072.3638300842,46983.0419157962,
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17084.5987992373,17413.5926572725,17833.573811586,18666.0429037052,19747.5302943907,20617.4328399473,21968.9288226088,23049.6127188317,23683.5147020119,24463.4963288274,26472.1937143329,27807.1693211993,29062.1238667812,30355.2833801407,32058.4154913466,32747.3540098412,34845.5917720001,35695.2984903994,36863.5847601847,35212.420476946,36576.5865398028,37379.2909657729,38514.0261691783,40218.7472562217,41580.6024876318,42912.8750936201,44635.2995586517,46372.38660351,47573.4880155177,49041.4635475451,46482.8622423026,
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13304.4747520763,14011.6082833819,14321.4078336229,14341.6823890924,14866.273280714,15424.4720857554,16145.4479061179,17155.9351926701,18033.7959681705,18464.7320754725,19516.1972208894,20954.7818531943,22615.9356074635,23896.6057015271,25460.4527360606,25577.5241052346,28549.1517418687,29320.264816923,30856.0118395987,30359.1494613318,27913.0891911748,25671.5160853562,24911.119631324,25986.6503155014,26625.0618096799,26760.3633030256,27511.8010160972,28604.8609402657,29617.5483399732,30356.2663953863,27909.5444893558,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8075.77969012893,8827.54124180988,9558.5388097749,9910.37288775229,9960.33853072506,10683.6035193701,11655.644078154,12769.7752890383,13682.122115102,14675.2614480684,15436.6444120023,17595.7572055905,19493.2350774676,20921.5405553163,20149.5095665253,19967.213732615,21014.7388041606,21397.4867786553,22081.0977857438,22325.0765880566,23301.2728639377,25210.9829651516,27154.0846858541,28844.9235406393,30576.6192715516,28841.7140738027,
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8320.83363235585,8252.91122441366,8409.44499327036,8854.26566225433,9187.36459662996,9349.70749876187,9824.84080482495,10398.1021708865,10873.2478627727,11853.1785173624,13207.9221677974,14526.3882629125,15481.3201097675,16272.0058268918,17112.2021738707,18389.4102769846,19099.8517148115,20727.8899694383,20729.783927124,21751.8338392809,23038.8080197669,23275.2318574574,24556.7153473909,25699.7504973846,26806.5952452257,27947.6376911698,29501.1204204706,31913.0746552476,33514.9417935891,33077.2339166746,
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13735.7259201573,14391.2683609584,15107.9220284649,15803.2819177282,17002.6335803006,18934.281280962,20475.4614771524,22636.2701781348,25092.5136109768,27041.3474221597,30205.6572262763,32567.2821672353,35222.028724352,36283.1208415968,38733.3496935931,40466.2343515711,44232.3730467878,46773.4866018105,44169.0943411644,41471.0799783739,43203.1200753797,45080.1886960425,46361.463694173,47830.6308878373,51098.2666828245,69028.7727189836,71498.6010072841,77749.2019569363,84555.6348017403,87379.6929656668,93180.9453964352,
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23941.9321446346,24768.9092727485,26873.0547977518,28721.114149937,29557.5418268846,29779.0931996058,31876.0270631376,32607.1058796568,32699.2417213139,35616.2006730045,37322.7399272793,39700.3293648154,41463.4255441211,43728.1140564123,41864.1882622629,39775.2970758147,40936.867830513,42004.4476110597,44409.6689530904,45996.9687476901,49201.0640964553,53480.3971946764,55638.4920591796,57211.3003077603,58290.0968315122,53622.2450114628,
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18627.64396728,19540.3245677444,20138.6705374054,20427.7275018865,21308.4022424882,22382.8979621765,23052.6189508502,23875.8385110015,25021.0652943145,25602.3894720393,27072.4213631819,28033.7358660572,28736.5771073504,29196.9278993071,29554.6890881879,30130.6444569128,32453.5837076357,34141.2007728064,35523.2713104342,34602.8969588528,35158.4418435321,36598.0149693024,36486.2967870302,36314.6971007775,36194.873918843,36899.3852092463,39926.9546628592,41581.120790548,43036.2437770367,44334.2003275855,41828.5540397184,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
